name,skill_proficiencies,tool_proficiencies,languages,starting_equipment,feature,suggested_traits,source
Acolyte,"Insight, Religion","None","Two of choice","Holy symbol (gift), prayer book or prayer wheel, 5 sticks of incense, vestments, set of common clothes, pouch with 15 gp","Shelter of the Faithful: receive free healing/care at temples of your faith; attendant priests provide modest lifestyle support.","Studious, traditionalist, devout, contemplative.",Basic
Charlatan,"Deception, Sleight of Hand","Disguise kit, forgery kit","None","Set of fine clothes, disguise kit, tools of con of choice (10 stoppered bottles of colored liquid, set of weighted dice, deck of marked cards, signet ring of imaginary duke), pouch with 15 gp","False Identity: maintain a second persona with documentation.","Glib, opportunistic, dishonest, charming.",PHB
Criminal,"Deception, Stealth","One gaming set, thieves' tools","None","Crowbar, set of dark common clothes (with hood), pouch with 15 gp","Criminal Contact: have a contact who can pass messages to/from criminal underworld.","Suspicious, paranoid, secretive, calculated.",PHB
Entertainer,"Acrobatics, Performance","Disguise kit, one musical instrument","None","Musical instrument, favor of admirer (love letter, lock of hair, trinket), costume, pouch with 15 gp","By Popular Demand: free lodging and food at venues where you perform.","Theatrical, social, adventurous.",PHB
Folk Hero,"Animal Handling, Survival","One artisan's tool, vehicles (land)","None","Set of artisan's tools, shovel, iron pot, set of common clothes, pouch with 10 gp","Rustic Hospitality: common folk shelter and hide you when needed.","Honest, idealistic, salt-of-the-earth, charitable.",Basic
Guild Artisan,"Insight, Persuasion","One artisan's tool","One of choice","Set of artisan's tools, letter of introduction from guild, traveler's clothes, pouch with 15 gp","Guild Membership: dues 5 gp/month grant guild support and lodging.","Industrious, business-oriented, proud.",PHB
Hermit,"Medicine, Religion","Herbalism kit","One of choice","Scroll case (notes from studies), winter blanket, common clothes, herbalism kit, 5 gp","Discovery: you have a unique and powerful insight (player + DM defined).","Reflective, eccentric, philosophical, withdrawn.",PHB
Noble,"History, Persuasion","One gaming set","One of choice","Set of fine clothes, signet ring, scroll of pedigree, purse with 25 gp","Position of Privilege: granted access to high society.","Aristocratic, refined, manipulative or chivalrous.",Basic
Outlander,"Athletics, Survival","One musical instrument","One of choice","Staff, hunting trap, trophy from animal you killed, set of traveler's clothes, pouch with 10 gp","Wanderer: navigate without map; shelter for self and 5 in wild.","Self-reliant, plain-spoken, hardy.",PHB
Sage,"Arcana, History","None","Two of choice","Bottle of black ink, quill, small knife, letter from dead colleague, set of common clothes, pouch with 10 gp","Researcher: when don't know information you know where/whom to ask.","Curious, scholarly, methodical.",PHB
Sailor,"Athletics, Perception","Navigator's tools, vehicles (water)","None","Belaying pin (club), 50ft silk rope, lucky charm, set of common clothes, pouch with 10 gp","Ship's Passage: arrange free passage on a sailing ship for self + companions.","Adventurous, gruff, weather-toughened.",PHB
Soldier,"Athletics, Intimidation","One gaming set, vehicles (land)","None","Insignia of rank, trophy from a fallen enemy, deck of cards or set of bone dice, set of common clothes, pouch with 10 gp","Military Rank: soldiers who recognize your rank obey commands within reason.","Disciplined, brave, structured, loyal.",Basic
Urchin,"Sleight of Hand, Stealth","Disguise kit, thieves' tools","None","Small knife, map of city you grew up in, pet mouse, token to remember parents, set of common clothes, pouch with 10 gp","City Secrets: travel through any city at twice normal pace through hidden routes.","Resourceful, suspicious, kind to other underdogs.",PHB
