name,hit_die,primary_ability,saving_throws,armor_proficiencies,weapon_proficiencies,tool_proficiencies,skill_choices,spellcasting_ability,spellcasting_type,subclass_name,subclass_choice_level,subclasses,key_class_features,starting_equipment_summary,source
Barbarian,d12,Strength,"STR, CON","Light, Medium, Shields","Simple, Martial",None,"2 from Animal Handling, Athletics, Intimidation, Nature, Perception, Survival",None,None,Primal Path,3,"Path of the Berserker (PHB), Path of the Totem Warrior (PHB)","1: Rage, Unarmored Defense; 2: Reckless Attack, Danger Sense; 3: Primal Path; 5: Extra Attack, Fast Movement; 7: Feral Instinct; 9: Brutal Critical; 11: Relentless Rage; 15: Persistent Rage; 18: Indomitable Might; 20: Primal Champion","Greataxe or any martial melee, 2 handaxes or any simple weapon, explorer's pack, 4 javelins",PHB
Bard,d8,Charisma,"DEX, CHA","Light","Simple, hand crossbows, longswords, rapiers, shortswords",Three musical instruments,"3 from any",Charisma,Full,Bard College,3,"College of Lore (PHB), College of Valor (PHB)","1: Bardic Inspiration (d6), Spellcasting; 2: Jack of All Trades, Song of Rest (d6); 3: Bard College, Expertise; 5: Bardic Inspiration (d8), Font of Inspiration; 6: Countercharm; 10: Magical Secrets; 20: Superior Inspiration","Rapier/longsword/simple weapon, diplomat's/entertainer's pack, lute or any musical instrument, leather armor, dagger",PHB
Cleric,d8,Wisdom,"WIS, CHA","Light, Medium, Shields","Simple",None,"2 from History, Insight, Medicine, Persuasion, Religion",Wisdom,Full,Divine Domain,1,"Knowledge Domain (PHB), Life Domain (Basic), Light Domain (PHB), Nature Domain (PHB), Tempest Domain (PHB), Trickery Domain (PHB), War Domain (PHB)","1: Spellcasting, Divine Domain; 2: Channel Divinity (1/rest), Turn Undead; 5: Destroy Undead; 6: Channel Divinity (2/rest); 8: Divine Strike or Potent Spellcasting (domain); 10: Divine Intervention; 18: Channel Divinity (3/rest); 20: Divine Intervention auto-success","Mace or warhammer, scale mail/leather/chain mail, light crossbow + 20 bolts or any simple, priest's/explorer's pack, shield, holy symbol",PHB
Druid,d8,Wisdom,"INT, WIS","Light, Medium, Shields (non-metal)","Clubs, daggers, darts, javelins, maces, quarterstaffs, scimitars, sickles, slings, spears",Herbalism kit,"2 from Arcana, Animal Handling, Insight, Medicine, Nature, Perception, Religion, Survival",Wisdom,Full,Druid Circle,2,"Circle of the Land (PHB), Circle of the Moon (PHB)","1: Druidic, Spellcasting; 2: Wild Shape, Druid Circle; 18: Timeless Body, Beast Spells; 20: Archdruid","Wooden shield or any simple weapon, scimitar or any simple melee, leather armor, explorer's pack, druidic focus",PHB
Fighter,d10,Strength or Dexterity,"STR, CON","All armor, Shields","Simple, Martial",None,"2 from Acrobatics, Animal Handling, Athletics, History, Insight, Intimidation, Perception, Survival",None (Eldritch Knight: Intelligence),None (Eldritch Knight: 1/3),Martial Archetype,3,"Champion (Basic/PHB), Battle Master (PHB), Eldritch Knight (PHB)","1: Fighting Style, Second Wind; 2: Action Surge (1/rest); 3: Martial Archetype; 5: Extra Attack; 9: Indomitable; 11: Extra Attack (2); 17: Action Surge (2/rest); 20: Extra Attack (3)","Chain mail or leather + longbow + 20 arrows, martial weapon + shield or 2 martial weapons, light crossbow + 20 bolts or 2 handaxes, dungeoneer's/explorer's pack",PHB
Monk,d8,Dexterity & Wisdom,"STR, DEX","None","Simple, shortswords",One artisan's tool or musical instrument,"2 from Acrobatics, Athletics, History, Insight, Religion, Stealth",None (Way of Four Elements limited),None (Way of Four Elements: limited),Monastic Tradition,3,"Way of the Open Hand (PHB), Way of Shadow (PHB), Way of the Four Elements (PHB)","1: Unarmored Defense, Martial Arts; 2: Ki, Unarmored Movement; 3: Monastic Tradition, Deflect Missiles; 4: Slow Fall; 5: Extra Attack, Stunning Strike; 6: Ki-Empowered Strikes; 7: Evasion, Stillness of Mind; 10: Purity of Body; 13: Tongue of the Sun and Moon; 14: Diamond Soul; 15: Timeless Body; 18: Empty Body; 20: Perfect Self","Shortsword or any simple weapon, dungeoneer's/explorer's pack, 10 darts",PHB
Paladin,d10,Strength & Charisma,"WIS, CHA","All armor, Shields","Simple, Martial",None,"2 from Athletics, Insight, Intimidation, Medicine, Persuasion, Religion",Charisma,Half (starts at level 2),Sacred Oath,3,"Oath of Devotion (PHB), Oath of the Ancients (PHB), Oath of Vengeance (PHB)","1: Divine Sense, Lay on Hands; 2: Fighting Style, Spellcasting, Divine Smite; 3: Sacred Oath, Channel Divinity, Divine Health; 5: Extra Attack; 6: Aura of Protection; 10: Aura of Courage; 11: Improved Divine Smite; 14: Cleansing Touch","Martial weapon + shield or 2 martial weapons, 5 javelins or any simple melee, priest's/explorer's pack, chain mail, holy symbol",PHB
Ranger,d10,Dexterity & Wisdom,"STR, DEX","Light, Medium, Shields","Simple, Martial",None,"3 from Animal Handling, Athletics, Insight, Investigation, Nature, Perception, Stealth, Survival",Wisdom,Half (starts at level 2),Ranger Archetype,3,"Hunter (PHB), Beast Master (PHB)","1: Favored Enemy, Natural Explorer; 2: Fighting Style, Spellcasting; 3: Ranger Archetype, Primeval Awareness; 5: Extra Attack; 8: Land's Stride; 10: Hide in Plain Sight; 14: Vanish; 18: Feral Senses; 20: Foe Slayer","Scale mail or leather, 2 shortswords or 2 simple melee, dungeoneer's/explorer's pack, longbow + 20 arrows",PHB
Rogue,d8,Dexterity,"DEX, INT","Light","Simple, hand crossbows, longswords, rapiers, shortswords",Thieves' tools,"4 from Acrobatics, Athletics, Deception, Insight, Intimidation, Investigation, Perception, Performance, Persuasion, Sleight of Hand, Stealth",None (Arcane Trickster: Intelligence),None (Arcane Trickster: 1/3),Roguish Archetype,3,"Thief (Basic/PHB), Assassin (PHB), Arcane Trickster (PHB)","1: Expertise, Sneak Attack 1d6, Thieves' Cant; 2: Cunning Action; 3: Roguish Archetype; 5: Uncanny Dodge; 7: Evasion; 11: Reliable Talent; 14: Blindsense; 15: Slippery Mind; 18: Elusive; 20: Stroke of Luck","Rapier or shortsword, shortbow + 20 arrows or shortsword, burglar's/dungeoneer's/explorer's pack, leather armor, 2 daggers, thieves' tools",PHB
Sorcerer,d6,Charisma,"CON, CHA","None","Daggers, darts, slings, quarterstaffs, light crossbows",None,"2 from Arcana, Deception, Insight, Intimidation, Persuasion, Religion",Charisma,Full,Sorcerous Origin,1,"Draconic Bloodline (PHB), Wild Magic (PHB)","1: Spellcasting, Sorcerous Origin; 2: Font of Magic; 3: Metamagic; 20: Sorcerous Restoration","Light crossbow + 20 bolts or any simple weapon, component pouch or arcane focus, dungeoneer's/explorer's pack, 2 daggers",PHB
